"Pcode","Locality","State","Comments","DeliveryOffice","PresortIndicator","ParcelZone","BSPnumber","BSPname","Category"
"0200","AUSTRALIAN NATIONAL UNIVERSITY","ACT","PO Boxes",,"150","N2","019","CANBERRA","Post Office Boxes                                 "
"0800","DARWIN","NT",,"DARWIN GPO","085","NT1","001","DARWIN","Delivery Area                                     "
"0801","DARWIN","NT","GPO Boxes",,"085","NT1","001","DARWIN","Post Office Boxes                                 "
"0804","PARAP","NT","PO Boxes","PARAP","085","NT1","001","DARWIN","Post Office Boxes                                 "
"0810","ALAWA","NT",,"DARWIN DC","085","NT1","001","DARWIN","Delivery Area                                     "
"0810","BRINKIN","NT",,"DARWIN DC","085","NT1","001","DARWIN","Delivery Area                                     "
"0810","CASUARINA","NT",,"DARWIN DC","085","NT1","001","DARWIN","Delivery Area                                     "
"0810","COCONUT GROVE","NT",,"DARWIN DC","085","NT1","001","DARWIN","Delivery Area                                     "
"0810","JINGILI","NT",,"DARWIN DC","085","NT1","001","DARWIN","Delivery Area                                     "
"0810","LEE POINT","NT",,"DARWIN DC","085","NT1","001","DARWIN","Delivery Area                                     "
"0810","MILLNER","NT",,"DARWIN DC","085","NT1","001","DARWIN","Delivery Area                                     "
"0810","MOIL","NT",,"DARWIN DC","085","NT1","001","DARWIN","Delivery Area                                     "
"0810","NAKARA","NT",,"DARWIN DC","085","NT1","001","DARWIN","Delivery Area                                     "
"0810","NIGHTCLIFF","NT",,"DARWIN DC","085","NT1","001","DARWIN","Delivery Area                                     "
"0810","RAPID CREEK","NT",,"DARWIN DC","085","NT1","001","DARWIN","Delivery Area                                     "
"0810","TIWI","NT",,"DARWIN DC","085","NT1","001","DARWIN","Delivery Area                                     "
"0810","WAGAMAN","NT",,"DARWIN DC","085","NT1","001","DARWIN","Delivery Area                                     "
"0810","WANGURI","NT",,"DARWIN DC","085","NT1","001","DARWIN","Delivery Area                                     "
"0811","CASUARINA","NT","PO Boxes","CASUARINA","085","NT1","001","DARWIN","Post Office Boxes                                 "
"0812","ANULA","NT",,"DARWIN DC","085","NT1","001","DARWIN","Delivery Area                                     "
"0812","KARAMA","NT",,"DARWIN DC","085","NT1","001","DARWIN","Delivery Area                                     "
"0812","LEANYER","NT",,"DARWIN DC","085","NT1","001","DARWIN","Delivery Area                                     "
"0812","MALAK","NT",,"DARWIN DC","085","NT1","001","DARWIN","Delivery Area                                     "
"0812","MARRARA","NT",,"DARWIN DC","085","NT1","001","DARWIN","Delivery Area                                     "
"0812","SANDERSON","NT",,"DARWIN DC","085","NT1","001","DARWIN","Delivery Area                                     "
"0812","WOODLEIGH GARDENS","NT",,"DARWIN DC","085","NT1","001","DARWIN","Delivery Area                                     "
"0812","WULAGI","NT",,"DARWIN DC","085","NT1","001","DARWIN","Delivery Area                                     "
"0813","SANDERSON","NT","PO Boxes","SANDERSON","085","NT1","001","DARWIN","Post Office Boxes                                 "
"0814","NIGHTCLIFF","NT","PO Boxes","NIGHTCLIFF","085","NT1","001","DARWIN","Post Office Boxes                                 "
"0815","NORTHERN TERRITORY UNIVERSITY","NT","PO Boxes","DARWIN DC","085","NT1","001","DARWIN","Post Office Boxes                                 "
