"A","ALIMENTARY TRACT AND METABOLISM","VOIES DIGESTIVES ET METABOLISME","ALIMENTÄRES SYSTEM UND STOFFWECHSEL"
"A01","STOMATOLOGICAL PREPARATIONS","PREPARATIONS STOMATOLOGIQUES","STOMATOLOGIKA"
"A01A","STOMATOLOGICAL PREPARATIONS","PREPARATION STOMATOLOGIQUE","STOMATOLOGIKA"
"A01AA","CARIES PROPHYLACTIC AGENTS","MEDICAMENTS PROPHYLACTIQUES ANTICARIES","MITTEL ZUR KARIESPROPHYLAXE"
"A01AA01","SODIUM FLUORIDE","FLUORURE DE SODIUM","NATRIUMFLUORID"
"A01AA02","SODIUM MONOFLUOROPHOSPHATE","MONOFLUOROPHOSPHATE DE SODIUM","NATRIUMMONOFLUORPHOSPHAT"
"A01AA03","OLAFLUR","OLAFLUR","OLAFLUR"
"A01AA04","STANNOUS FLUORIDE","FLUORURE D'ETAIN","ZINN(II)-FLUORID"
"A01AA30","COMBINATIONS","ASSOCIATIONS","KOMBINATIONEN"
"A01AA51","SODIUM FLUORIDE, COMBINATIONS","FLUORURE DE SODIUM, ASSOCIATIONS","NATRIUMFLUORID, KOMBINATIONEN"
"A01AB","ANTIINFECTIVES AND ANTISEPTICS FOR LOCAL ORAL TREATMENT","MEDICAMENTS ANTIINFECTIEUX POUR TRAITEMENT ORAL LOCAL","ANTIINFEKTIVA UND ANTISEPTIKA ZUR ORALEN LOKALBEHANDLUNG"
"A01AB02","HYDROGEN PEROXIDE","PEROXYDE D'HYDROGENE","WASSERSTOFFPEROXID"
"A01AB03","CHLORHEXIDINE","CHLORHEXIDINE","CHLORHEXIDIN"
"A01AB04","AMPHOTERICIN","AMPHOTERICINE B","AMPHOTERICIN B"
"A01AB05","POLYNOXYLIN","POLYNOXYLINE","POLYNOXYLIN"
"A01AB06","DOMIPHEN","DOMIPHENE","DOMIPHEN"
"A01AB07","OXYQUINOLINE","HYDROXY 8 QUINOLEINE","OXYCHINOLIN"
"A01AB08","NEOMYCIN","NEOMYCINE","NEOMYCIN"
"A01AB09","MICONAZOLE","MICONAZOLE","MICONAZOL"
"A01AB10","NATAMYCIN","NATAMYCINE","NATAMYCIN"
"A01AB11","VARIOUS","DIVERS","VERSCHIEDENE"
"A01AB12","HEXETIDINE","HEXETIDINE","HEXETIDIN"
"A01AB13","TETRACYCLINE","TETRACYCLINE","TETRACYCLIN"
"A01AB14","BENZOXONIUM CHLORIDE","CHLORURE DE BENZOXONIUM","BENZOXONIUMCHLORID"
"A01AB15","TIBEZONIUM IODIDE","TIBEZONIUM IODURE","TIBEZONIUMIODID"
"A01AB16","MEPARTRICIN","MEPARTRICINE","MEPARTRICIN"
"A01AB17","METRONIDAZOLE","METRONIDAZOLE","METRONIDAZOL"
"A01AB18","CLOTRIMAZOLE","CLOTRIMAZOLE","CLOTRIMAZOL"
"A01AB19","SODIUM PERBORATE","SODIUM PERBORATE","NATRIUMPERBORAT"
"A01AB21","CHLORTETRACYCLINE","CHLORTETRACYCLINE","CHLORTETRACYCLIN"
"A01AB22","DOXYCYCLINE","DOXYCYCLINE","DOXYCYCLIN"
"A01AB23","MINOCYCLINE","MINOCYCLINE","MINOCYCLIN"
"A01AC","CORTICOSTEROIDS FOR LOCAL ORAL TREATMENT","CORTICOIDES POUR TRAITEMENT ORAL LOCAL","CORTICOSTEROIDE ZUR ORALEN LOKALBEHANDLUNG"
"A01AC01","TRIAMCINOLONE","TRIAMCINOLONE","TRIAMCINOLON"
"A01AC02","DEXAMETHASONE","DEXAMETHASONE","DEXAMETHASON"
"A01AC03","HYDROCORTISONE","HYDROCORTISONE","HYDROCORTISON"
"A01AC54","PREDNISOLONE, COMBINATIONS","PREDNISOLONE EN ASSOCIATION","PREDNISOLON, KOMBINATIONEN"
"A01AD","OTHER AGENTS FOR LOCAL ORAL TREATMENT","AUTRES MEDICAMENTS POUR TRAITEMENT ORAL LOCAL","ANDERE MITTEL ZUR ORALEN LOKALBEHANDLUNG"
"A01AD01","EPINEPHRINE","EPINEPHRINE","EPINEPHRIN"
"A01AD02","BENZYDAMINE","BENZYDAMINE","BENZYDAMIN"
"A01AD05","ACETYLSALICYLIC ACID","ACIDE ACETYLSALICYLIQUE","ACETYLSALICYLSÄURE"
"A01AD06","ADRENALONE","ADRENALONE","ADRENALON"
"A01AD07","AMLEXANOX","AMLEXANOX","AMLEXANOX"
"A01AD08","BECAPLERMIN","BECAPLERMIN","BECAPLERMIN"
"A01AD11","VARIOUS","DIVERS","VERSCHIEDENE"
"A02","DRUGS FOR ACID RELATED DESORDERS","MEDICAMENTS POUR LES TROUBLES DE L'ACIDITE","MITTEL BEI SÄURE BEDINGTEN ERKRANKUNGEN"
"A02A","ANTACIDS","ANTIACIDES","ANTACIDA"
"A02AA","MAGNESIUM COMPOUNDS","ANTIACIDES A BASE DE MAGNESIUM","MAGNESIUM-HALTIGE VERBINDUNGEN"
"A02AA01","MAGNESIUM CARBONATE","MAGNESIUM CARBONATE","MAGNESIUMCARBONAT"
"A02AA02","MAGNESIUM OXIDE","MAGNESIUM OXYDE","MAGNESIUMOXID"
"A02AA03","MAGNESIUM PEROXIDE","MAGNESIUM PEROXYDE","MAGNESIUMPEROXID"
"A02AA04","MAGNESIUM HYDROXIDE","MAGNESIUM HYDROXYDE","MAGNESIUMHYDROXID"
"A02AA05","MAGNESIUM SILICATE","MAGNESIUM SILICATE","MAGNESIUMSILIKAT"
"A02AA10","COMBINATIONS","ASSOCIATIONS","KOMBINATIONEN"
"A02AB","ALUMINIUM COMPOUNDS","ANTIACIDES A BASE D'ALUMINIUM","ALUMINIUM-HALTIGE VERBINDUNGEN"
"A02AB01","ALUMINIUM HYDROXIDE","ALUMINIUM HYDROXYDE","ALUMINIUMHYDROXID"
"A02AB02","ALGELDRATE","ALGELDRATE","ALGELDRAT"
"A02AB03","ALUMINIUM PHOSPHATE","ALUMINIUM PHOSPHATE","ALUMINIUMPHOSPHAT"
"A02AB04","DIHYDROXIALUMINI SODIUM CARBONATE","DIHYDROXYALUMINIUM SODIUM CARBONATE","DIHYDROXYALUMINIUMNATRIUMCARBONAT (CARBALDRAT)"
"A02AB05","ALUMINIUM ACETOACETATE","ALUMINIUM ACETOACETATE","ALUMINIUMACETOACETAT"
"A02AB06","ALOGLUTAMOL","ALOGLUTAMOL","ALOGLUTAMOL"
"A02AB07","ALUMINIUM GLYCINATE","ALUMINIUM GLYCINATE","ALUMINIUMGLYCINAT"
"A02AB10","COMBINATIONS","ASSOCIATIONS","KOMBINATIONEN"
"A02AC","CALCIUM COMPOUNDS","ANTIACIDES A BASE DE CALCIUM","CALCIUM-HALTIGE VERBINDUNGEN"
"A02AC01","CALCIUM CARBONATE","CALCIUM CARBONATE","CALCIUMCARBONAT"
"A02AC02","CALCIUM SILICATE","CALCIUM SILICATE","CALCIUMSILIKAT"
"A02AC10","COMBINATIONS","ASSOCIATIONS","KOMBINATIONEN"
"A02AD","COMBINATIONS AND COMPLEXES OF ALUMINIUM, CALCIUM AND MAGNESIUM COMPOUNDS","ASSOCIATIONS ET COMPLEXES A BASE D'ALUMINIUM, DE CALCIUM ET DE MAGNESIUM","KOMBINATIONEN UND KOMPLEXE VON ALUMINIUM-, CALCIUM- UND MAGNESIUM-HALTIGEN VERBINDUNGEN"
"A02AD01","ORDINARY SALT COMBINATIONS","ASSOCIATIONS DE SELS","EINFACHE SALZKOMBINATIONEN"
"A02AD02","MAGALDRATE","MAGALDRATE","MAGALDRAT"
"A02AD03","ALMAGATE","ALMAGATE","ALMAGAT"
"A02AD04","HYDROTALCITE","HYDROTALCITE","HYDROTALCIT"
"A02AD05","ALMASILATE","ALMASILATE","ALMASILAT"
"A02AF","ANTACIDS WITH ANTIFLATULENTS","ANTIACIDES AVEC ANTIFLATULENTS","ANTACIDA MIT KARMINATIVA"
"A02AF01","MAGALDRATE AND ANTIFLATULENTS","MAGALDRATE ET ANTIFLATULENTS","MAGALDRAT UND KARMINATIVA"
"A02AF02","ORDINARY SALT COMBINATIONS AND ANTIFLATULENTS","ASSOCIATION DE SELS ET ANTIFLATULENTS","EINFACHE SALZKOMBINATIONEN UND KARMINATIVA"
"A02AG","ANTACIDS WITH ANTISPASMODICS","ANTIACIDES AVEC ANTISPASMODIQUES","ANTACIDA MIT SPASMOLYTIKA"
"A02AH","ANTACIDS WITH SODIUM BICARBONATE","ANTIACIDES AVEC BICARBONATE DE SODIUM","ANTACIDA MIT NATRIUMBICARBONAT"
"A02AX","ANTACIDS, OTHER COMBINATIONS","ANTIACIDES : AUTRES ASSOCIATIONS","ANTACIDA, ANDERE KOMBINATIONEN"
"A02B","DRUGS FOR PEPTIC ULCER AND GASTROESOPHAGEAL REFLUX DISEASE","MEDICAMENTS POUR L'ULCERE PEPTIQUE ET LE REFLUX GASTRO-OESOPHAGIEN (RGO)","MITTEL BEI PEPTISCHEM ULKUS UND GASTROESOPHAGEALER REFLUXKRANKHEIT"
"A02BA","H2-RECEPTOR ANTAGONISTS","ANTAGONISTES DES RECEPTEURS H2","HISTAMIN-H2-REZEPTORANTAGONISTEN"
"A02BA01","CIMETIDINE","CIMETIDINE","CIMETIDIN"
"A02BA02","RANITIDINE","RANITIDINE","RANITIDIN"
"A02BA03","FAMOTIDINE","FAMOTIDINE","FAMOTIDIN"
"A02BA04","NIZATIDINE","NIZATIDINE","NIZATIDIN"
"A02BA05","NIPEROTIDINE","NIPEROTIDINE","NIPEROTIDIN"
"A02BA06","ROXATIDINE","ROXATIDINE","ROXATIDIN"
"A02BA07","RANITIDINE BISMUTH CITRATE","RANITIDINE BISMUTH CITRATE","RANITIDINBISMUTCITRAT"
"A02BA08","LAFUTIDINE","LAFUTIDINE","LAFUTIDIN"
"A02BA51","CIMETIDINE, COMBINATIONS","CIMETIDINE EN ASSOCIATION","CIMETIDIN, KOMBINATIONEN"
"A02BA53","FAMOTIDINE, COMBINATIONS","FAMOTIDINE EN ASSOCIATION","FAMOTIDIN, KOMBINATIONEN"
"A02BB","PROSTAGLANDINS","PROSTAGLANDINES","PROSTAGLANDINE"
"A02BB01","MISOPROSTOL","MISOPROSTOL","MISOPROSTOL"
"A02BB02","ENPROSTIL","ENPROSTIL","ENPROSTIL"
